table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
auth,oauth_client_states,2,provider_type,text,NO,null
auth,oauth_client_states,3,code_verifier,text,YES,null
auth,oauth_client_states,4,created_at,timestamp with time zone,NO,null
auth,oauth_clients,1,id,uuid,NO,null
auth,oauth_clients,3,client_secret_hash,text,YES,null
auth,oauth_clients,4,registration_type,USER-DEFINED,NO,null
auth,oauth_clients,5,redirect_uris,text,NO,null
auth,oauth_clients,6,grant_types,text,NO,null
auth,oauth_clients,7,client_name,text,YES,null
auth,oauth_clients,8,client_uri,text,YES,null
auth,oauth_clients,9,logo_uri,text,YES,null
auth,oauth_clients,10,created_at,timestamp with time zone,NO,now()
auth,oauth_clients,11,updated_at,timestamp with time zone,NO,now()
auth,oauth_clients,12,deleted_at,timestamp with time zone,YES,null
auth,oauth_clients,13,client_type,USER-DEFINED,NO,'confidential'::auth.oauth_client_type
auth,oauth_clients,14,token_endpoint_auth_method,text,NO,null
auth,oauth_consents,1,id,uuid,NO,null
auth,oauth_consents,2,user_id,uuid,NO,null
auth,oauth_consents,3,client_id,uuid,NO,null
auth,oauth_consents,4,scopes,text,NO,null
auth,oauth_consents,5,granted_at,timestamp with time zone,NO,now()
auth,oauth_consents,6,revoked_at,timestamp with time zone,YES,null
auth,one_time_tokens,1,id,uuid,NO,null
auth,one_time_tokens,2,user_id,uuid,NO,null
auth,one_time_tokens,3,token_type,USER-DEFINED,NO,null
auth,one_time_tokens,4,token_hash,text,NO,null
auth,one_time_tokens,5,relates_to,text,NO,null
auth,one_time_tokens,6,created_at,timestamp without time zone,NO,now()
auth,one_time_tokens,7,updated_at,timestamp without time zone,NO,now()
auth,refresh_tokens,1,instance_id,uuid,YES,null
auth,refresh_tokens,2,id,bigint,NO,nextval('auth.refresh_tokens_id_seq'::regclass)
auth,refresh_tokens,3,token,character varying,YES,null
auth,refresh_tokens,4,user_id,character varying,YES,null
auth,refresh_tokens,5,revoked,boolean,YES,null
auth,refresh_tokens,6,created_at,timestamp with time zone,YES,null
auth,refresh_tokens,7,updated_at,timestamp with time zone,YES,null
auth,refresh_tokens,8,parent,character varying,YES,null
auth,refresh_tokens,9,session_id,uuid,YES,null
auth,saml_providers,1,id,uuid,NO,null
auth,saml_providers,2,sso_provider_id,uuid,NO,null
auth,saml_providers,3,entity_id,text,NO,null
auth,saml_providers,4,metadata_xml,text,NO,null
auth,saml_providers,5,metadata_url,text,YES,null
auth,saml_providers,6,attribute_mapping,jsonb,YES,null
auth,saml_providers,7,created_at,timestamp with time zone,YES,null
auth,saml_providers,8,updated_at,timestamp with time zone,YES,null
auth,saml_providers,9,name_id_format,text,YES,null
auth,saml_relay_states,1,id,uuid,NO,null
auth,saml_relay_states,2,sso_provider_id,uuid,NO,null
auth,saml_relay_states,3,request_id,text,NO,null
auth,saml_relay_states,4,for_email,text,YES,null
auth,saml_relay_states,5,redirect_to,text,YES,null
auth,saml_relay_states,7,created_at,timestamp with time zone,YES,null
auth,saml_relay_states,8,updated_at,timestamp with time zone,YES,null
auth,saml_relay_states,9,flow_state_id,uuid,YES,null
auth,schema_migrations,1,version,character varying,NO,null
auth,sessions,1,id,uuid,NO,null
auth,sessions,2,user_id,uuid,NO,null
auth,sessions,3,created_at,timestamp with time zone,YES,null
auth,sessions,4,updated_at,timestamp with time zone,YES,null
auth,sessions,5,factor_id,uuid,YES,null
auth,sessions,6,aal,USER-DEFINED,YES,null
auth,sessions,7,not_after,timestamp with time zone,YES,null
auth,sessions,8,refreshed_at,timestamp without time zone,YES,null
auth,sessions,9,user_agent,text,YES,null
auth,sessions,10,ip,inet,YES,null
auth,sessions,11,tag,text,YES,null
auth,sessions,12,oauth_client_id,uuid,YES,null
auth,sessions,13,refresh_token_hmac_key,text,YES,null
auth,sessions,14,refresh_token_counter,bigint,YES,null
auth,sessions,15,scopes,text,YES,null
auth,sso_domains,1,id,uuid,NO,null
auth,sso_domains,2,sso_provider_id,uuid,NO,null
auth,sso_domains,3,domain,text,NO,null
auth,sso_domains,4,created_at,timestamp with time zone,YES,null
auth,sso_domains,5,updated_at,timestamp with time zone,YES,null
auth,sso_providers,1,id,uuid,NO,null
auth,sso_providers,2,resource_id,text,YES,null
auth,sso_providers,3,created_at,timestamp with time zone,YES,null
auth,sso_providers,4,updated_at,timestamp with time zone,YES,null
auth,sso_providers,5,disabled,boolean,YES,null
auth,users,1,instance_id,uuid,YES,null
auth,users,2,id,uuid,NO,null
auth,users,3,aud,character varying,YES,null
auth,users,4,role,character varying,YES,null
auth,users,5,email,character varying,YES,null
auth,users,6,encrypted_password,character varying,YES,null
auth,users,7,email_confirmed_at,timestamp with time zone,YES,null
auth,users,8,invited_at,timestamp with time zone,YES,null
auth,users,9,confirmation_token,character varying,YES,null
auth,users,10,confirmation_sent_at,timestamp with time zone,YES,null
auth,users,11,recovery_token,character varying,YES,null
auth,users,12,recovery_sent_at,timestamp with time zone,YES,null
auth,users,13,email_change_token_new,character varying,YES,null
auth,users,14,email_change,character varying,YES,null
auth,users,15,email_change_sent_at,timestamp with time zone,YES,null
auth,users,16,last_sign_in_at,timestamp with time zone,YES,null
auth,users,17,raw_app_meta_data,jsonb,YES,null
auth,users,18,raw_user_meta_data,jsonb,YES,null
auth,users,19,is_super_admin,boolean,YES,null
auth,users,20,created_at,timestamp with time zone,YES,null
auth,users,21,updated_at,timestamp with time zone,YES,null
auth,users,22,phone,text,YES,NULL::character varying
auth,users,23,phone_confirmed_at,timestamp with time zone,YES,null
auth,users,24,phone_change,text,YES,''::character varying
auth,users,25,phone_change_token,character varying,YES,''::character varying
auth,users,26,phone_change_sent_at,timestamp with time zone,YES,null
auth,users,27,confirmed_at,timestamp with time zone,YES,null
auth,users,28,email_change_token_current,character varying,YES,''::character varying
auth,users,29,email_change_confirm_status,smallint,YES,0
auth,users,30,banned_until,timestamp with time zone,YES,null
auth,users,31,reauthentication_token,character varying,YES,''::character varying
auth,users,32,reauthentication_sent_at,timestamp with time zone,YES,null
auth,users,33,is_sso_user,boolean,NO,false
auth,users,34,deleted_at,timestamp with time zone,YES,null
auth,users,35,is_anonymous,boolean,NO,false
auth,webauthn_challenges,1,id,uuid,NO,gen_random_uuid()
auth,webauthn_challenges,2,user_id,uuid,YES,null
auth,webauthn_challenges,3,challenge_type,text,NO,null
auth,webauthn_challenges,4,session_data,jsonb,NO,null
auth,webauthn_challenges,5,created_at,timestamp with time zone,NO,now()
auth,webauthn_challenges,6,expires_at,timestamp with time zone,NO,null
auth,webauthn_credentials,1,id,uuid,NO,gen_random_uuid()
auth,webauthn_credentials,2,user_id,uuid,NO,null
auth,webauthn_credentials,3,credential_id,bytea,NO,null
auth,webauthn_credentials,4,public_key,bytea,NO,null
auth,webauthn_credentials,5,attestation_type,text,NO,''::text
auth,webauthn_credentials,6,aaguid,uuid,YES,null
auth,webauthn_credentials,7,sign_count,bigint,NO,0
auth,webauthn_credentials,8,transports,jsonb,NO,'[]'::jsonb
auth,webauthn_credentials,9,backup_eligible,boolean,NO,false
auth,webauthn_credentials,10,backed_up,boolean,NO,false
auth,webauthn_credentials,11,friendly_name,text,NO,''::text
auth,webauthn_credentials,12,created_at,timestamp with time zone,NO,now()
auth,webauthn_credentials,13,updated_at,timestamp with time zone,NO,now()
auth,webauthn_credentials,14,last_used_at,timestamp with time zone,YES,null
extensions,pg_stat_statements,1,userid,oid,YES,null
extensions,pg_stat_statements,2,dbid,oid,YES,null
extensions,pg_stat_statements,3,toplevel,boolean,YES,null
extensions,pg_stat_statements,4,queryid,bigint,YES,null
extensions,pg_stat_statements,5,query,text,YES,null
extensions,pg_stat_statements,6,plans,bigint,YES,null
extensions,pg_stat_statements,7,total_plan_time,double precision,YES,null
extensions,pg_stat_statements,8,min_plan_time,double precision,YES,null
extensions,pg_stat_statements,9,max_plan_time,double precision,YES,null
extensions,pg_stat_statements,10,mean_plan_time,double precision,YES,null
extensions,pg_stat_statements,11,stddev_plan_time,double precision,YES,null
extensions,pg_stat_statements,12,calls,bigint,YES,null
extensions,pg_stat_statements,13,total_exec_time,double precision,YES,null
extensions,pg_stat_statements,14,min_exec_time,double precision,YES,null
extensions,pg_stat_statements,15,max_exec_time,double precision,YES,null
extensions,pg_stat_statements,16,mean_exec_time,double precision,YES,null
extensions,pg_stat_statements,17,stddev_exec_time,double precision,YES,null
extensions,pg_stat_statements,18,rows,bigint,YES,null
extensions,pg_stat_statements,19,shared_blks_hit,bigint,YES,null
extensions,pg_stat_statements,20,shared_blks_read,bigint,YES,null
extensions,pg_stat_statements,21,shared_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,22,shared_blks_written,bigint,YES,null
extensions,pg_stat_statements,23,local_blks_hit,bigint,YES,null
extensions,pg_stat_statements,24,local_blks_read,bigint,YES,null
extensions,pg_stat_statements,25,local_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,26,local_blks_written,bigint,YES,null
extensions,pg_stat_statements,27,temp_blks_read,bigint,YES,null
extensions,pg_stat_statements,28,temp_blks_written,bigint,YES,null
extensions,pg_stat_statements,29,shared_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,30,shared_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,31,local_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,32,local_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,33,temp_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,34,temp_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,35,wal_records,bigint,YES,null
extensions,pg_stat_statements,36,wal_fpi,bigint,YES,null
extensions,pg_stat_statements,37,wal_bytes,numeric,YES,null
extensions,pg_stat_statements,38,jit_functions,bigint,YES,null
extensions,pg_stat_statements,39,jit_generation_time,double precision,YES,null
extensions,pg_stat_statements,40,jit_inlining_count,bigint,YES,null
extensions,pg_stat_statements,41,jit_inlining_time,double precision,YES,null
extensions,pg_stat_statements,42,jit_optimization_count,bigint,YES,null
extensions,pg_stat_statements,43,jit_optimization_time,double precision,YES,null
extensions,pg_stat_statements,44,jit_emission_count,bigint,YES,null
extensions,pg_stat_statements,45,jit_emission_time,double precision,YES,null
extensions,pg_stat_statements,46,jit_deform_count,bigint,YES,null
extensions,pg_stat_statements,47,jit_deform_time,double precision,YES,null
extensions,pg_stat_statements,48,stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements,49,minmax_stats_since,timestamp with time zone,YES,null
extensions,pg_stat_statements_info,1,dealloc,bigint,YES,null
extensions,pg_stat_statements_info,2,stats_reset,timestamp with time zone,YES,null
public,00_Open_Work,1,source,text,YES,null
public,00_Open_Work,2,status,text,YES,null
public,00_Open_Work,3,item_count,integer,YES,null
public,analytics_agent_growth_opportunities,1,opportunity_type,text,YES,null
public,analytics_agent_growth_opportunities,2,destination_id,uuid,YES,null
public,analytics_agent_growth_opportunities,3,route_id,uuid,YES,null
public,analytics_agent_growth_opportunities,4,state_id,integer,YES,null
public,analytics_agent_growth_opportunities,5,event_date,date,YES,null
public,analytics_agent_growth_opportunities,6,signal_count,bigint,YES,null
public,analytics_agent_growth_opportunities,7,context,jsonb,YES,null
public,analytics_agent_restaurant_summary,1,destination_id,uuid,YES,null
public,analytics_agent_restaurant_summary,2,destination_name,text,YES,null
public,analytics_agent_restaurant_summary,3,city,text,YES,null
public,analytics_agent_restaurant_summary,4,state_id,integer,YES,null
public,analytics_agent_restaurant_summary,5,rating_count,bigint,YES,null
public,analytics_agent_restaurant_summary,6,avg_weight_score,numeric,YES,null
public,analytics_agent_restaurant_summary,7,avg_overall,numeric,YES,null
public,analytics_agent_restaurant_summary,8,last_rated_at,timestamp with time zone,YES,null
public,analytics_agent_restaurant_summary,9,profile_views_30d,bigint,YES,null
public,analytics_agent_restaurant_summary,10,directions_taps_30d,bigint,YES,null
public,analytics_agent_restaurant_summary,11,rating_starts_30d,bigint,YES,null
public,analytics_agent_restaurant_summary,12,event_rating_completions_30d,bigint,YES,null
public,analytics_agent_restaurant_summary,13,shares_30d,bigint,YES,null
public,analytics_agent_route_summary,1,route_id,uuid,YES,null
public,analytics_agent_route_summary,2,title,text,YES,null
public,analytics_agent_route_summary,3,city,text,YES,null
public,analytics_agent_route_summary,4,is_public,boolean,YES,null
public,analytics_agent_route_summary,5,is_token_route,boolean,YES,null
public,analytics_agent_route_summary,6,all_crawls,bigint,YES,null
public,analytics_agent_route_summary,7,completed_crawls,bigint,YES,null
public,analytics_agent_route_summary,8,last_crawl_at,timestamp with time zone,YES,null
public,analytics_agent_route_summary,9,unique_identities_30d,bigint,YES,null
public,analytics_agent_route_summary,10,crawl_views_30d,bigint,YES,null
public,analytics_agent_route_summary,11,crawl_starts_30d,bigint,YES,null
public,analytics_agent_route_summary,12,crawl_completions_30d,bigint,YES,null
public,analytics_agent_route_summary,13,ratings_completed_30d,bigint,YES,null
public,analytics_crawl_funnel_daily,1,event_date,date,YES,null
public,analytics_crawl_funnel_daily,2,crawl_started,bigint,YES,null
public,analytics_crawl_funnel_daily,3,crawl_viewed,bigint,YES,null
public,analytics_crawl_funnel_daily,4,crawl_resumed,bigint,YES,null
public,analytics_crawl_funnel_daily,5,crawl_saved,bigint,YES,null
public,analytics_crawl_funnel_daily,6,crawl_completed,bigint,YES,null
public,analytics_crawl_funnel_daily,7,crawl_abandoned,bigint,YES,null
public,analytics_crawl_funnel_daily,8,crawl_ratings_completed,bigint,YES,null
public,analytics_crawl_funnel_daily,9,rough_completion_rate,numeric,YES,null
public,analytics_daily_active_users,1,event_date,date,YES,null
public,analytics_daily_active_users,2,signed_in_users,bigint,YES,null
public,analytics_daily_active_users,3,anonymous_users,bigint,YES,null
public,analytics_daily_active_users,4,active_identities,bigint,YES,null
public,analytics_daily_active_users,5,sessions,bigint,YES,null
public,analytics_daily_active_users,6,total_events,bigint,YES,null
public,analytics_daily_active_users,7,app_opens,bigint,YES,null
public,analytics_daily_active_users,8,screen_views,bigint,YES,null
public,analytics_destination_performance_daily,1,event_date,date,YES,null
public,analytics_destination_performance_daily,2,destination_id,uuid,YES,null
public,analytics_destination_performance_daily,3,unique_identities,bigint,YES,null
public,analytics_destination_performance_daily,4,profile_views,bigint,YES,null
public,analytics_destination_performance_daily,5,directions_taps,bigint,YES,null
public,analytics_destination_performance_daily,6,rating_starts,bigint,YES,null
public,analytics_destination_performance_daily,7,rating_completions,bigint,YES,null
public,analytics_destination_performance_daily,8,shares,bigint,YES,null
public,analytics_discovery_daily,1,event_date,date,YES,null
public,analytics_discovery_daily,2,restaurant_searches_with_results,bigint,YES,null
public,analytics_discovery_daily,3,restaurant_search_empty,bigint,YES,null
public,analytics_discovery_daily,4,restaurant_search_failed,bigint,YES,null
public,analytics_discovery_daily,5,restaurant_search_result_selected,bigint,YES,null
public,analytics_discovery_daily,6,restaurant_profile_views,bigint,YES,null
public,analytics_discovery_daily,7,directions_taps,bigint,YES,null
public,analytics_discovery_daily,8,map_opens,bigint,YES,null
public,analytics_discovery_daily,9,failures,bigint,YES,null
public,analytics_discovery_daily,10,slow_screens,bigint,YES,null
public,analytics_rating_funnel_daily,1,event_date,date,YES,null
public,analytics_rating_funnel_daily,2,rating_started,bigint,YES,null
public,analytics_rating_funnel_daily,3,rating_completed,bigint,YES,null
public,analytics_rating_funnel_daily,4,rating_not_completed,bigint,YES,null
public,analytics_rating_funnel_daily,5,rating_abandoned,bigint,YES,null
public,analytics_rating_funnel_daily,6,rating_failed,bigint,YES,null
public,analytics_rating_funnel_daily,7,rating_validation_failed,bigint,YES,null
public,analytics_rating_funnel_daily,8,completion_rate,numeric,YES,null
public,analytics_route_performance_daily,1,event_date,date,YES,null
public,analytics_route_performance_daily,2,route_id,uuid,YES,null
public,analytics_route_performance_daily,3,unique_identities,bigint,YES,null
public,analytics_route_performance_daily,4,crawl_views,bigint,YES,null
public,analytics_route_performance_daily,5,crawl_starts,bigint,YES,null
public,analytics_route_performance_daily,6,crawl_saves,bigint,YES,null
public,analytics_route_performance_daily,7,crawl_completions,bigint,YES,null
public,analytics_route_performance_daily,8,ratings_completed,bigint,YES,null
public,analytics_route_performance_daily,9,leaderboard_views,bigint,YES,null
public,analytics_social_opt_out_by_account_age,1,account_age_bucket,text,YES,null
public,analytics_social_opt_out_by_account_age,2,total_users,bigint,YES,null
public,analytics_social_opt_out_by_account_age,3,total_users_opted_out,bigint,YES,null
public,analytics_social_opt_out_by_account_age,4,opt_out_rate,numeric,YES,null
public,analytics_social_opt_out_by_facebook_link,1,facebook_connected,boolean,YES,null
public,analytics_social_opt_out_by_facebook_link,2,total_users,bigint,YES,null
public,analytics_social_opt_out_by_facebook_link,3,total_users_opted_out,bigint,YES,null
public,analytics_social_opt_out_by_facebook_link,4,opt_out_rate,numeric,YES,null
public,analytics_social_opt_out_summary,1,total_users,bigint,YES,null
public,analytics_social_opt_out_summary,2,total_users_opted_out,bigint,YES,null
public,analytics_social_opt_out_summary,3,opt_out_rate,numeric,YES,null
public,badge_catalog,1,id,bigint,NO,nextval('badge_catalog_id_seq'::regclass)
public,badge_catalog,2,code,text,NO,null
public,badge_catalog,3,name,text,NO,null
public,badge_catalog,4,description,text,YES,null
public,badge_catalog,5,icon,text,YES,null
public,badge_catalog,6,xp_reward,integer,NO,0
public,badge_catalog,7,category,text,YES,null
public,badge_catalog,8,tier,integer,YES,1
public,badge_catalog,9,is_active,boolean,NO,true
public,buffacoin_ledger,1,id,uuid,NO,gen_random_uuid()
public,buffacoin_ledger,2,user_id,uuid,NO,null
public,buffacoin_ledger,3,delta,integer,NO,null
public,buffacoin_ledger,4,reason,text,NO,null
public,buffacoin_ledger,5,crawl_id,uuid,YES,null
public,buffacoin_ledger,6,state_id,integer,YES,null
public,buffacoin_ledger,7,destination_id,uuid,YES,null
public,buffacoin_ledger,8,created_at,timestamp with time zone,NO,now()
public,buffacoin_wallets,1,user_id,uuid,NO,null
public,buffacoin_wallets,2,balance,integer,NO,0
public,buffacoin_wallets,3,updated_at,timestamp with time zone,NO,now()
public,buffacoin_wallets,4,created_at,timestamp with time zone,NO,now()
public,crawl_coverage_public,1,crawl_id,uuid,YES,null
public,crawl_coverage_public,2,user_id,uuid,YES,null
public,crawl_coverage_public,3,route_id,uuid,YES,null
public,crawl_coverage_public,4,status,text,YES,null
public,crawl_coverage_public,5,start_time,timestamp with time zone,YES,null
public,crawl_coverage_public,6,end_time,timestamp with time zone,YES,null
public,crawl_coverage_public,7,stop_count,integer,YES,null
public,crawl_coverage_public,8,rated_count,bigint,YES,null
public,crawl_coverage_public,9,pct_rated,numeric,YES,null
public,crawl_public,1,crawl_id,uuid,YES,null
public,crawl_public,2,user_id,uuid,YES,null
public,crawl_public,3,route_id,uuid,YES,null
public,crawl_public,4,status,text,YES,null
public,crawl_public,5,start_time,timestamp with time zone,YES,null
public,crawl_public,6,end_time,timestamp with time zone,YES,null
public,crawl_weekly_streak,1,user_id,uuid,YES,null
public,crawl_weekly_streak,2,current_streak_weeks,bigint,YES,null
public,crawls,1,crawl_id,uuid,NO,gen_random_uuid()
public,crawls,2,route_id,uuid,YES,null
public,crawls,3,user_id,uuid,YES,null
public,crawls,4,status,text,NO,'created'::text
public,crawls,6,start_time,timestamp with time zone,YES,null
public,crawls,7,end_time,timestamp with time zone,YES,null
public,crawls,10,crawl_type,text,NO,'route'::text
public,crawls,11,is_solo,boolean,NO,false
public,custom_restaurant_sourcing,1,id,uuid,NO,gen_random_uuid()
public,custom_restaurant_sourcing,2,state_id,integer,NO,null
public,custom_restaurant_sourcing,3,restaurant_name,text,NO,null
public,custom_restaurant_sourcing,4,ratings,jsonb,NO,null
public,custom_restaurant_sourcing,5,prefs_snapshot,jsonb,YES,null
public,custom_restaurant_sourcing,6,created_at,timestamp with time zone,NO,now()
public,custom_restaurant_sourcing,7,user_id,uuid,YES,null
public,daily_xp_claims,1,id,bigint,NO,null
public,daily_xp_claims,2,user_id,uuid,NO,null
public,daily_xp_claims,3,claimed_at,timestamp with time zone,NO,now()
public,daily_xp_claims,4,claim_date,date,YES,null
public,debug_logs,1,id,uuid,NO,gen_random_uuid()
public,debug_logs,2,created_at,timestamp with time zone,NO,now()
public,debug_logs,3,device_id,text,YES,null
public,debug_logs,4,user_id,uuid,YES,null
public,debug_logs,5,scope,text,NO,'auth'::text
public,debug_logs,6,event,text,NO,null
public,debug_logs,7,detail,jsonb,NO,'{}'::jsonb
public,destination_ratings,1,id,uuid,NO,gen_random_uuid()
public,destination_ratings,2,destination_id,uuid,NO,null
public,destination_ratings,3,crawl_id,uuid,NO,null
public,destination_ratings,4,user_id,uuid,YES,null
public,destination_ratings,5,crispiness,smallint,YES,null
public,destination_ratings,6,sauce,smallint,YES,null
public,destination_ratings,7,meat,smallint,YES,null
public,destination_ratings,8,overall,smallint,YES,null
public,destination_ratings,9,weight_score,numeric,YES,null
public,destination_ratings,10,created_at,timestamp with time zone,NO,now()
public,destination_ratings,11,tag_id,bigint,YES,null
public,destination_ratings,12,wings_eaten,smallint,YES,0
public,destination_ratings,13,sauce_style,smallint,YES,null
public,destination_ratings,14,flavor_vibe,ARRAY,YES,null
public,destination_ratings,15,spice_level,smallint,YES,null
public,destination_ratings,16,would_order_again,boolean,YES,null
public,destination_ratings,17,is_buffacoin,boolean,NO,false
public,destination_suggestions,1,id,uuid,NO,gen_random_uuid()
public,destination_suggestions,2,user_id,uuid,NO,null
public,destination_suggestions,3,state_id,integer,YES,null
public,destination_suggestions,4,restaurant_name,text,NO,null
public,destination_suggestions,5,address,text,YES,null
public,destination_suggestions,6,created_at,timestamp with time zone,NO,now()
public,destination_tags,1,id,bigint,NO,null
public,destination_tags,2,tag,text,NO,null
public,destination_tags,3,created_at,timestamp with time zone,NO,now()
public,destinations,1,id,uuid,NO,gen_random_uuid()
public,destinations,2,name,text,NO,null
public,destinations,3,address,text,YES,null
public,destinations,4,lat,numeric,YES,null
